Designator,Mid X,Mid Y,Rotation,Layer
C1,186.225,-86.0,0.0,top
C10,168.55,-80.3,270.0,top
C11,179.06,-83.56,180.0,top
C12,186.05,-108.85,0.0,top
C13,185.815,-110.6,0.0,top
C14,189.35,-112.58,90.0,top
C15,186.9,-114.75,0.0,top
C16,186.9,-116.75,0.0,top
C17,186.775,-118.5,0.0,top
C2,189.4,-85.76,180.0,top
C3,183.545,-92.915,180.0,top
C4,180.84,-108.25,180.0,top
C5,190.98,-101.95,0.0,top
C6,180.47,-109.75,180.0,top
C7,191.74,-105.46,0.0,top
D1,202.28,-73.8475,180.0,top
D2,202.28,-76.4475,180.0,top
D3,202.28,-79.0475,180.0,top
D4,201.8,-70.675,90.0,top
D5,202.28,-81.6475,180.0,top
J1,172.15,-65.445,180.0,top
J10,190.03,-127.04,180.0,top
J11,192.57,-127.04,180.0,top
J12,195.11,-127.04,180.0,top
J13,197.65,-127.04,180.0,top
J14,170.95,-127.54,270.0,top
J15,170.95,-105.54,270.0,top
J16,197.95,-105.14,90.0,top
J3,177.33,-127.04,180.0,top
J4,178.87,-138.07,0.0,top
J5,190.64,-138.07,0.0,top
J6,179.87,-127.04,180.0,top
J7,182.41,-127.04,180.0,top
J8,184.95,-127.04,180.0,top
J9,187.49,-127.04,180.0,top
L2,182.31,-115.1,270.0,top
R1,185.7675,-96.9,0.0,top
R13,175.74,-80.0,90.0,top
R14,176.19,-81.4,0.0,top
R15,170.95,-80.24,270.0,top
R16,173.35,-80.24,270.0,top
R17,192.3,-110.3375,270.0,top
R18,192.3,-113.9625,270.0,top
R19,189.1,-114.46,270.0,top
R2,190.4725,-96.9,180.0,top
R20,190.0,-110.175,90.0,top
R21,188.5,-110.175,270.0,top
R3,184.31,-83.9,0.0,top
R4,183.55,-91.4,0.0,top
R6,183.55,-89.9,180.0,top
R8,201.55,-67.475,270.0,top
R9,203.05,-67.5,270.0,top
U1,190.9,-72.3,0.0,top
U2,188.1225,-91.2925,0.0,top
U3,185.6,-103.6,180.0,top
U4,186.4675,-112.6,0.0,top
